Date,AdjustedClose,News,Share1,Share2,Share3,Share4,Share5,Share6
12.10.93,280,,141.7,280,151.15,142.77,64.71,223.82
13.10.93,280,"In order to achieve the best performance possible in the upcoming experimental round, pay attention to the instructions.",141.79,280,151.25,143.37,1.33,173.33
14.10.93,280,"In order to achieve the best performance possible in the upcoming experimental round, pay attention to the instructions.",142.97,280,150.68,144.23,42.18,218.93
15.10.93,280,"In order to achieve the best performance possible in the upcoming experimental round, pay attention to the instructions.",144.09,280,145.56,145.19,48.38,128.82
18.10.93,280,"In order to achieve the best performance possible in the upcoming experimental round, pay attention to the instructions.",141.4,280,143.6,145.28,46.84,183.68
19.10.93,280,"In order to achieve the best performance possible in the upcoming experimental round, pay attention to the instructions.",141.22,280,143.47,145.15,64.53,169.32
20.10.93,280,"In order to achieve the best performance possible in the upcoming experimental round, pay attention to the instructions.",140.21,280,143.75,144.43,41.78,120.3
21.10.93,280,"In order to achieve the best performance possible in the upcoming experimental round, pay attention to the instructions.",141.85,280,141.76,144.21,5.9,156.43
22.10.93,280,"In order to achieve the best performance possible in the upcoming experimental round, pay attention to the instructions.",143.14,280,143.37,143.42,60.18,233.41
25.10.93,280,"In order to achieve the best performance possible in the upcoming experimental round, pay attention to the instructions.",144.27,280,145.05,145.06,14.21,233.47
26.10.93,280,"In order to achieve the best performance possible in the upcoming experimental round, pay attention to the instructions.",145.29,280,146.31,144.12,54.69,172.49
27.10.93,280,"In order to achieve the best performance possible in the upcoming experimental round, pay attention to the instructions.",145.57,280,145.95,142.43,27.25,132
28.10.93,280,,145.69,280,145.39,141.49,82.18,179.79
29.10.93,280,"In order to make trades, you can use the six buttons above to buy or sell different amounts of stock.",145.36,280,144.24,142.79,76.43,145.64
01.11.93,280,"In order to make trades, you can use the six buttons above to buy or sell different amounts of stock.",144.72,280,140.13,142.3,16.42,140.35
02.11.93,280,"In order to make trades, you can use the six buttons above to buy or sell different amounts of stock.",146.35,280,142.24,142.19,73.53,156.11
03.11.93,280,"In order to make trades, you can use the six buttons above to buy or sell different amounts of stock.",145.09,280,142.42,141.68,26.3,141.76
04.11.93,280,"In order to make trades, you can use the six buttons above to buy or sell different amounts of stock.",143.26,280,144.45,141.34,72.83,203.08
05.11.93,280,"In order to make trades, you can use the six buttons above to buy or sell different amounts of stock.",141.88,280,145.11,141.07,97.22,169.07
