Date,AdjustedClose,News
12.10.93,14231,
13.10.93,14231,
14.10.93,14231,"During the rest of the practice round, you will see instructions appearing here."
15.10.93,14231,"During the rest of the practice round, you will see instructions appearing here."
18.10.93,14231,"During the rest of the practice round, you will see instructions appearing here."
19.10.93,14231,"During the rest of the practice round, you will see instructions appearing here."
20.10.93,14231,"During the rest of the practice round, you will see instructions appearing here."
21.10.93,14231,"During the rest of the practice round, you will see instructions appearing here."
22.10.93,14231,"During the rest of the practice round, you will see instructions appearing here."
25.10.93,14231,
26.10.93,14231,"In order to achieve the best performance possible in the upcoming experimental round, please pay attention to the instructions."
27.10.93,14231,"In order to achieve the best performance possible in the upcoming experimental round, please pay attention to the instructions."
28.10.93,14231,"In order to achieve the best performance possible in the upcoming experimental round, please pay attention to the instructions."
29.10.93,14231,"In order to achieve the best performance possible in the upcoming experimental round, please pay attention to the instructions."
01.11.93,14231,"In order to achieve the best performance possible in the upcoming experimental round, please pay attention to the instructions."
02.11.93,14231,"In order to achieve the best performance possible in the upcoming experimental round, please pay attention to the instructions."
03.11.93,14231,"In order to achieve the best performance possible in the upcoming experimental round, please pay attention to the instructions."
04.11.93,14231,"In order to achieve the best performance possible in the upcoming experimental round, please pay attention to the instructions."
05.11.93,14231,"In order to achieve the best performance possible in the upcoming experimental round, please pay attention to the instructions."
08.11.93,14942.6,
09.11.93,14942.6,"In order to make trades, you can use the six buttons above to buy or sell different amounts of stock."
10.11.93,14942.6,"In order to make trades, you can use the six buttons above to buy or sell different amounts of stock."
11.11.93,14942.6,"In order to make trades, you can use the six buttons above to buy or sell different amounts of stock."
12.11.93,14942.6,"In order to make trades, you can use the six buttons above to buy or sell different amounts of stock."
15.11.93,14942.6,"In order to make trades, you can use the six buttons above to buy or sell different amounts of stock."
16.11.93,14942.6,"In order to make trades, you can use the six buttons above to buy or sell different amounts of stock."
17.11.93,14942.6,"In order to make trades, you can use the six buttons above to buy or sell different amounts of stock."
18.11.93,14942.6,
19.11.93,14942.6,The current price of the asset will be presented between the two rows of buy and sell buttons.
22.11.93,14942.6,The current price of the asset will be presented between the two rows of buy and sell buttons.
23.11.93,14942.6,The current price of the asset will be presented between the two rows of buy and sell buttons.
24.11.93,14942.6,The current price of the asset will be presented between the two rows of buy and sell buttons.
25.11.93,14942.6,The current price of the asset will be presented between the two rows of buy and sell buttons.
26.11.93,14942.6,The current price of the asset will be presented between the two rows of buy and sell buttons.
29.11.93,14942.6,
30.11.93,14942.6,Please try buying and then selling 20 shares to see how the software works.
01.12.93,13519.5,Please try buying and then selling 20 shares to see how the software works.
02.12.93,13519.5,Please try buying and then selling 20 shares to see how the software works.
03.12.93,13519.5,Please try buying and then selling 20 shares to see how the software works.
06.12.93,13519.5,Please try buying and then selling 20 shares to see how the software works.
07.12.93,13519.5,Please try buying and then selling 20 shares to see how the software works.
08.12.93,13519.5,Please try buying and then selling 20 shares to see how the software works.
09.12.93,13519.5,Please try buying and then selling 20 shares to see how the software works.
10.12.93,13519.5,Please try buying and then selling 20 shares to see how the software works.
13.12.93,13519.5,
14.12.93,13519.5,"In the lower left quadrant of the screen, you can see various metrics that give you some information on your performance."
15.12.93,13519.5,"In the lower left quadrant of the screen, you can see various metrics that give you some information on your performance."
16.12.93,13519.5,"In the lower left quadrant of the screen, you can see various metrics that give you some information on your performance."
17.12.93,13519.5,"In the lower left quadrant of the screen, you can see various metrics that give you some information on your performance."
20.12.93,13519.5,"In the lower left quadrant of the screen, you can see various metrics that give you some information on your performance."
21.12.93,13519.5,"In the lower left quadrant of the screen, you can see various metrics that give you some information on your performance."
22.12.93,13519.5,"In the lower left quadrant of the screen, you can see various metrics that give you some information on your performance."
23.12.93,13519.5,"In the lower left quadrant of the screen, you can see various metrics that give you some information on your performance."
27.12.93,13519.5,"In the lower left quadrant of the screen, you can see various metrics that give you some information on your performance."
28.12.93,14231,"In the lower left quadrant of the screen, you can see various metrics that give you some information on your performance."
29.12.93,14231,
30.12.93,14231,
03.01.94,14231,The first metric is Cash. It tells you how much liquidity you currently have that you can use to buy shares.
04.01.94,14231,The first metric is Cash. It tells you how much liquidity you currently have that you can use to buy shares.
05.01.94,14231,The first metric is Cash. It tells you how much liquidity you currently have that you can use to buy shares.
06.01.94,14231,The first metric is Cash. It tells you how much liquidity you currently have that you can use to buy shares.
07.01.94,14231,The first metric is Cash. It tells you how much liquidity you currently have that you can use to buy shares.
10.01.94,14231,The first metric is Cash. It tells you how much liquidity you currently have that you can use to buy shares.
11.01.94,14231,
12.01.94,14231,The second metric is Shares. It tells you how many shares are currently in your portfolio.
13.01.94,14231,The second metric is Shares. It tells you how many shares are currently in your portfolio.
14.01.94,14231,The second metric is Shares. It tells you how many shares are currently in your portfolio.
17.01.94,14231,The second metric is Shares. It tells you how many shares are currently in your portfolio.
18.01.94,14231,The second metric is Shares. It tells you how many shares are currently in your portfolio.
19.01.94,14231,The second metric is Shares. It tells you how many shares are currently in your portfolio.
20.01.94,14231,The second metric is Shares. It tells you how many shares are currently in your portfolio.
21.01.94,14231,
24.01.94,14231,The third metric is Share Value. It tells you how much the shares in your portfolio are currently worth.
25.01.94,14231,The third metric is Share Value. It tells you how much the shares in your portfolio are currently worth.
26.01.94,14231,The third metric is Share Value. It tells you how much the shares in your portfolio are currently worth.
27.01.94,14231,The third metric is Share Value. It tells you how much the shares in your portfolio are currently worth.
28.01.94,14231,The third metric is Share Value. It tells you how much the shares in your portfolio are currently worth.
31.01.94,14231,The third metric is Share Value. It tells you how much the shares in your portfolio are currently worth.
01.02.94,14231,The third metric is Share Value. It tells you how much the shares in your portfolio are currently worth.
02.02.94,14231,
03.02.94,14231,The fourth metric is Total. It is the total value of your Cash and Shares.
04.02.94,14231,The fourth metric is Total. It is the total value of your Cash and Shares.
07.02.94,14231,The fourth metric is Total. It is the total value of your Cash and Shares.
08.02.94,14231,The fourth metric is Total. It is the total value of your Cash and Shares.
09.02.94,14231,The fourth metric is Total. It is the total value of your Cash and Shares.
10.02.94,14231,The fourth metric is Total. It is the total value of your Cash and Shares.
11.02.94,14231,The fourth metric is Total. It is the total value of your Cash and Shares.
14.02.94,14231,
15.02.94,14231,
16.02.94,14231,"The fifth metric is Profits and Losses. It tells you how much money you have made or lost, compared to the amount of money you started the round with."
17.02.94,14231,"The fifth metric is Profits and Losses. It tells you how much money you have made or lost, compared to the amount of money you started the round with."
18.02.94,14231,"The fifth metric is Profits and Losses. It tells you how much money you have made or lost, compared to the amount of money you started the round with."
21.02.94,14231,"The fifth metric is Profits and Losses. It tells you how much money you have made or lost, compared to the amount of money you started the round with."
22.02.94,14231,"The fifth metric is Profits and Losses. It tells you how much money you have made or lost, compared to the amount of money you started the round with."
23.02.94,14586.8,"The fifth metric is Profits and Losses. It tells you how much money you have made or lost, compared to the amount of money you started the round with."
24.02.94,14586.8,"The fifth metric is Profits and Losses. It tells you how much money you have made or lost, compared to the amount of money you started the round with."
25.02.94,14586.8,"The fifth metric is Profits and Losses. It tells you how much money you have made or lost, compared to the amount of money you started the round with."
28.02.94,14586.8,"The fifth metric is Profits and Losses. It tells you how much money you have made or lost, compared to the amount of money you started the round with."
01.03.94,14586.8,"The fifth metric is Profits and Losses. It tells you how much money you have made or lost, compared to the amount of money you started the round with."
02.03.94,14586.8,"The fifth metric is Profits and Losses. It tells you how much money you have made or lost, compared to the amount of money you started the round with."
03.03.94,14586.8,
04.03.94,14586.8,
07.03.94,14586.8,Please buy or sell some stocks to get a feeling for how it works. This is an artificial price path for you to practice on. The one in the experimental round will be more realistic.
08.03.94,14586.8,Please buy or sell some stocks to get a feeling for how it works. This is an artificial price path for you to practice on. The one in the experimental round will be more realistic.
09.03.94,14586.8,Please buy or sell some stocks to get a feeling for how it works. This is an artificial price path for you to practice on. The one in the experimental round will be more realistic.
10.03.94,14406.8,Please buy or sell some stocks to get a feeling for how it works. This is an artificial price path for you to practice on. The one in the experimental round will be more realistic.
11.03.94,14406.8,Please buy or sell some stocks to get a feeling for how it works. This is an artificial price path for you to practice on. The one in the experimental round will be more realistic.
14.03.94,14406.8,Please buy or sell some stocks to get a feeling for how it works. This is an artificial price path for you to practice on. The one in the experimental round will be more realistic.
15.03.94,14406.8,Please buy or sell some stocks to get a feeling for how it works. This is an artificial price path for you to practice on. The one in the experimental round will be more realistic.
16.03.94,14586.8,Please buy or sell some stocks to get a feeling for how it works. This is an artificial price path for you to practice on. The one in the experimental round will be more realistic.
17.03.94,14586.8,Please buy or sell some stocks to get a feeling for how it works. This is an artificial price path for you to practice on. The one in the experimental round will be more realistic.
18.03.94,14586.8,Please buy or sell some stocks to get a feeling for how it works. This is an artificial price path for you to practice on. The one in the experimental round will be more realistic.
21.03.94,14546.8,Please buy or sell some stocks to get a feeling for how it works. This is an artificial price path for you to practice on. The one in the experimental round will be more realistic.
22.03.94,14546.8,Please buy or sell some stocks to get a feeling for how it works. This is an artificial price path for you to practice on. The one in the experimental round will be more realistic.
23.03.94,14546.8,Please buy or sell some stocks to get a feeling for how it works. This is an artificial price path for you to practice on. The one in the experimental round will be more realistic.
24.03.94,14586.8,Please buy or sell some stocks to get a feeling for how it works. This is an artificial price path for you to practice on. The one in the experimental round will be more realistic.
25.03.94,14586.8,Please buy or sell some stocks to get a feeling for how it works. This is an artificial price path for you to practice on. The one in the experimental round will be more realistic.
28.03.94,14586.8,Please buy or sell some stocks to get a feeling for how it works. This is an artificial price path for you to practice on. The one in the experimental round will be more realistic.
29.03.94,14586.8,Please buy or sell some stocks to get a feeling for how it works. This is an artificial price path for you to practice on. The one in the experimental round will be more realistic.
30.03.94,14686.8,Please buy or sell some stocks to get a feeling for how it works. This is an artificial price path for you to practice on. The one in the experimental round will be more realistic.
31.03.94,14686.8,Please buy or sell some stocks to get a feeling for how it works. This is an artificial price path for you to practice on. The one in the experimental round will be more realistic.
01.04.94,14686.8,Please buy or sell some stocks to get a feeling for how it works. This is an artificial price path for you to practice on. The one in the experimental round will be more realistic.
02.04.94,14686.8,Please buy or sell some stocks to get a feeling for how it works. This is an artificial price path for you to practice on. The one in the experimental round will be more realistic.
03.04.94,14686.8,
04.04.94,14686.8,"On the screen following each round, you can find an overview of how you performed."
05.04.94,14686.8,"On the screen following each round, you can find an overview of how you performed."
06.04.94,14686.8,"On the screen following each round, you can find an overview of how you performed."
07.04.94,14686.8,"On the screen following each round, you can find an overview of how you performed."
08.04.94,14686.8,"On the screen following each round, you can find an overview of how you performed."
09.04.94,14686.8,"On the screen following each round, you can find an overview of how you performed."
10.04.94,14686.8,"On the screen following each round, you can find an overview of how you performed."
11.04.94,14686.8,"On the screen following each round, you can find an overview of how you performed."
12.04.94,14686.8,"On the screen following each round, you can find an overview of how you performed."
13.04.94,14686.8,"On the screen following each round, you can find an overview of how you performed."
